신코드,신항목명,구코드,구항목명
780,영상 및 통신 장비 관련 설치 및 수리원,733,"전기, 전자장비 설치 및 정비 종사자"
79,기타 기능 관련직,,
791,공예 및 귀금속 세공원,741,금속 및 관련재료 세공 종사자
,,742,"도공, 유리가공 및 관련 기능 종사자"
,,743,"목재, 섬유, 가죽 및 관련재료 수공예 종사자"
,,752,"목재처리, 가구제조 및 관련 기능 종사자"
792,배관공,713,건물 완성 및 관련 기능 종사자 
799,기타 기능관련 종사자,714,"건물 도장, 청결 및 관련 기능 종사자"
,,722,"대장원, 공구제조원 및 관련 기능 종사자"
,,742,"도공, 유리가공 및 관련 기능 종사자"
,,744,인쇄 및 관련 기능 종사자
8,장치․기계 조작 및 조립 종사자,,
81,식품가공관련 기계조작직,,
811,식품가공관련 기계조작원,751,식품가공 및 관련 기능 종사자
,,827,식품 및 관련제품용 기계 조작 종사자
812,음료 제조관련 기계조작원,828,기호식품 및 음료 제조 기계 조작 종사자
819,기타 식품가공관련 기계조작원,815,화학물 가공장치 조작 종사자
,,827,식품 및 관련제품용 기계 조작 종사자
,,828,기호식품 및 음료 제조 기계 조작 종사자
82,섬유 및 신발 관련 기계조작직,,
821,섬유제조 및 가공 기계조작원,744,인쇄 및 관련 기능 종사자
,,815,화학물 가공장치 조작 종사자
,,826,"섬유, 의복 제품용 기계 조작 종사자"
822,직물 및 신발 관련 기계조작원 및 조립원,754,"펠트, 가죽신발 제조관련 기능 종사자"
,,826,"섬유, 의복 제품용 기계 조작 종사자"
,,833,"금속, 목재 및 기타 제품 조립 종사자 "
823,세탁관련 기계조작원,826,"섬유, 의복 제품용 기계 조작 종사자"
83,화학관련 기계조작직,,
831,석유 및 화학물 가공장치 조작원,815,화학물 가공장치 조작 종사자
832,화학․고무 및 플라스틱제품 생산기 조작원,815,화학물 가공장치 조작 종사자
,,822,화학제품용 기계 조작 종사자
,,823,고무 및 플라스틱제품용 기계 조작 종사자
,,833,"금속, 목재 및 기타 제품 조립 종사자 "
84,금속 및 비금속 관련 기계조작직,,
841,주조 및 금속 가공관련 기계조작원,721,"금속주형, 용접 및 관련 기능 종사자"
,,722,"대장원, 공구제조원 및 관련 기능 종사자"
,,812,금속 가공장치 조작 종사자
,,821,금속 및 광물제품용 기계 조작 종사자
842,도장 및 도금기 조작원,722,"대장원, 공구제조원 및 관련 기능 종사자"
,,742,"도공, 유리가공 및 관련 기능 종사자"
,,752,"목재처리, 가구제조 및 관련 기능 종사자"
,,811,채광 및 광물가공장치 조작 종사자
,,822,화학제품용 기계 조작 종사자
843,비금속 제품 생산기 조작원,741,금속 및 관련재료 세공 종사자
,,742,"도공, 유리가공 및 관련 기능 종사자"
,,811,채광 및 광물가공장치 조작 종사자
,,813,"유리 가공장치, 도기로 및 관련장치 조작 종사자"
,,815,화학물 가공장치 조작 종사자
,,821,금속 및 광물제품용 기계 조작 종사자
85,기계제조 및 관련 기계 조작직,,
851,금속공작기계 조작원,821,금속 및 광물제품용 기계 조작 종사자
852,냉․난방 관련 설비 조작원,816,동력생산 및 관련장치 조작 종사자
853,자동조립라인 및 산업용 로봇 조작원,817,자동조립라인 및 산업용 로봇 조작 종사자
854,운송차량 및 기계 관련 조립원,722,"대장원, 공구제조원 및 관련 기능 종사자"
,,831,일반기계 조립 종사자
855,금속기계부품 조립원,833,"금속, 목재 및 기타 제품 조립 종사자 "
86,전기 및 전자 관련 기계조작직,,
861,발전 및 배전 장치 조작원,816,동력생산 및 관련장치 조작 종사자
862,전기 및 전자 설비 조작원,829,기타 기계 조작 종사자
,,832,전기 및 전자장비 조립 종사자
863,전기․전자 부품 및 제품 제조장치 조작원,829,기타 기계 조작 종사자
