id,year,industryType,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
63,2012,부동산업시설관리지원임대,175688,0.697,0.303,0.909,0.091,0.786,0.109,0.053,0.032,0.01,0.008,0.003,1309797,0.574,0.426,0.667,0.333,0.1,0.703,0.151,0.046,0.183,0.094,0.094,0.127,0.093,0.169,0.239,42.9,4.4,20.7,185,173.3,11.7,2027.1,1899.9,127.2,2531.1
64,2012,전문과학및기술서비스업,84260,0.874,0.126,0.865,0.135,0.647,0.21,0.075,0.043,0.013,0.008,0.003,814647,0.693,0.307,0.511,0.489,0.071,0.87,0.049,0.01,0.148,0.138,0.103,0.133,0.096,0.136,0.246,37.4,6.1,20.3,166.7,161,5.6,3306,3230,76,5529
65,2012,교육서비스업,172289,0.464,0.536,0.943,0.057,0.759,0.105,0.052,0.041,0.035,0.007,0.001,1475660,0.379,0.621,0.727,0.273,0.103,0.667,0.159,0.071,0.159,0.078,0.082,0.149,0.29,0.101,0.141,41.1,8,20.2,163.7,159.1,4.6,2991,2938,53,2958
66,2012,보건업및사회복지서비스업,122764,0.55,0.45,0.941,0.059,0.49,0.323,0.114,0.047,0.017,0.007,0.002,1261722,0.213,0.787,0.746,0.254,0.082,0.816,0.083,0.019,0.145,0.197,0.144,0.139,0.112,0.11,0.154,38.3,4.5,21.6,174.4,166.2,8.2,2267,2153,114,2683
67,2012,오락문화및운동관련서비스업,104597,0.579,0.421,0.984,0.016,0.913,0.056,0.015,0.01,0.003,0.003,0,343790,0.542,0.458,0.838,0.162,0.353,0.329,0.25,0.068,0.488,0.106,0.062,0.092,0.06,0.132,0.059,38.3,4.8,22,180,166.4,13.6,2209,2036,173,3469
68,2012,기타공공수리및개인서비스업,383109,0.567,0.433,0.97,0.03,0.931,0.044,0.016,0.007,0.001,0,0,839925,0.524,0.476,0.899,0.101,0.384,0.457,0.1,0.059,0.624,0.128,0.096,0.092,0.039,0.02,0.002,42,4.5,22.1,175.7,169.1,6.6,2039,1961,77,2340
69,2013,전체,3664832,0.621,0.379,0.943,0.057,0.82,0.105,0.041,0.023,0.007,0.003,0.001,18528334,0.574,0.426,0.697,0.303,0.201,0.628,0.124,0.046,0.29,0.131,0.108,0.136,0.101,0.107,0.127,40.5,6.4,20.7,176.3,160.2,16,2660,2451,209,5482
70,2013,농업임업및어업,2655,0.896,0.104,0.76,0.24,0.369,0.26,0.199,0.137,0.025,0.009,0.001,34202,0.736,0.264,0.632,0.368,0,0.715,0.197,0.088,0.063,0.138,0.207,0.319,0.135,0.099,0.039,44.6,9.3,20.9,168.5,163.7,4.8,2714,2650,64,6152
71,2013,광업,1881,0.893,0.107,0.904,0.096,0.684,0.125,0.1,0.077,0.01,0.002,0.002,15415,0.873,0.127,0.649,0.351,0.128,0.789,0.077,0.007,0.202,0.101,0.167,0.268,0.083,0.025,0.154,48.3,8.6,21.9,188.6,162.4,26.3,2967,2582,385,5730
72,2013,제조업,382575,0.809,0.191,0.941,0.059,0.641,0.187,0.085,0.059,0.017,0.009,0.002,3825678,0.739,0.261,0.62,0.38,0.095,0.837,0.063,0.004,0.13,0.122,0.115,0.18,0.114,0.146,0.193,40.1,7,21.2,189,158.3,30.8,2635,2253,381,7336
73,2013,전기가스수도하수,8686,0.878,0.122,0.785,0.215,0.428,0.215,0.151,0.139,0.046,0.016,0.004,148698,0.859,0.141,0.51,0.49,0.019,0.932,0.043,0.006,0.059,0.083,0.12,0.253,0.182,0.156,0.147,43.2,10.1,20.6,175.5,160.7,14.9,3273.6,2995,279.1,7966.1
74,2013,건설업,118767,0.846,0.154,0.939,0.061,0.614,0.212,0.105,0.047,0.012,0.007,0.002,1045603,0.866,0.134,0.776,0.224,0.07,0.55,0.36,0.02,0.144,0.157,0.157,0.156,0.094,0.129,0.163,42.7,5.2,20.5,167.7,161.3,6.3,2722,2631,91,3321
75,2013,도매및소매업,957058,0.588,0.412,0.94,0.06,0.887,0.076,0.024,0.01,0.002,0.001,0,2885740,0.54,0.46,0.767,0.233,0.37,0.467,0.107,0.056,0.53,0.157,0.104,0.091,0.04,0.054,0.023,38.6,5.2,21,175.7,166.2,9.6,2556,2436,119,4166
76,2013,운수및창고업,371628,0.944,0.056,0.973,0.027,0.946,0.022,0.013,0.01,0.004,0.003,0,1015915,0.884,0.116,0.731,0.269,0.346,0.529,0.038,0.087,0.377,0.053,0.064,0.113,0.114,0.196,0.083,46,7.6,21.4,179.4,162.8,16.7,2427,2172,255,5178
77,2013,숙박및음식점업,685669,0.363,0.637,0.981,0.019,0.883,0.093,0.018,0.005,0.001,0,0,1986673,0.358,0.642,0.903,0.097,0.483,0.231,0.273,0.012,0.634,0.196,0.078,0.046,0.022,0.012,0.011,40.2,3.6,22.4,190.4,180.6,9.8,1770,1672,97,1613
78,2013,정보통신업,35290,0.842,0.158,0.888,0.112,0.555,0.2,0.112,0.08,0.03,0.019,0.005,509785,0.7,0.3,0.625,0.375,0.025,0.898,0.059,0.018,0.082,0.09,0.103,0.169,0.143,0.206,0.209,36.7,6.8,19.3,157.9,153,4.9,3389,3315,74,5517
79,2013,금융및보험업,41609,0.863,0.137,0.244,0.756,0.279,0.247,0.258,0.168,0.035,0.009,0.004,707246,0.462,0.538,0.1,0.9,0.008,0.613,0.026,0.353,0.038,0.101,0.2,0.307,0.131,0.085,0.138,38.2,10.4,19,156,150.9,5.1,3602,3491,111,14099
