p010101,p010107,p010110,p010350,p011642
1,37,7,262.0,300.0
1,52,4,721.0,110.0
1,30,5,721.0,110.0
1,50,5,941.0,20.0
1,55,5,713.0,135.0
1,27,5,220.0,115.0
2,22,5,311.0,90.0
1,33,4,753.0,70.0
1,36,6,312.0,130.0
2,38,5,315.0,50.0
2,50,3,411.0,70.0
1,28,7,272.0,30.0
2,23,7,156.0,70.0
2,29,5,832.0,60.0
2,19,5,317.0,50.0
2,24,6,143.0,90.0
2,22,5,241.0,80.0
1,25,6,132.0,100.0
1,59,4,821.0,120.0
1,26,6,120.0,80.0
1,32,5,713.0,135.0
2,35,5,930.0,25.0
2,43,4,421.0,90.0
2,20,5,512.0,80.0
1,30,5,511.0,120.0
1,25,7,315.0,110.0
2,48,5,412.0,80.0
2,27,5,315.0,80.0
1,50,7,132.0,220.0
2,21,5,317.0,33.0
2,34,4,422.0,90.0
1,33,5,311.0,130.0
1,43,7,292.0,200.0
2,45,7,311.0,40.0
1,27,7,131.0,100.0
1,46,8,151.0,200.0
1,38,5,721.0,160.0
1,36,5,913.0,130.0
1,33,7,292.0,100.0
2,24,5,316.0,80.0
2,22,5,315.0,80.0
1,39,5,132.0,200.0
1,30,7,120.0,120.0
1,27,7,316.0,160.0
1,33,5,752.0,60.0
2,48,5,513.0,80.0
1,36,5,232.0,200.0
1,31,7,131.0,160.0
2,29,6,143.0,100.0
1,46,7,232.0,400.0
1,26,5,733.0,140.0
1,52,5,441.0,190.0
2,47,5,421.0,55.0
1,24,5,511.0,20.0
1,27,7,236.0,110.0
1,41,7,314.0,-1.0
1,40,7,733.0,250.0
1,46,4,512.0,100.0
1,25,6,317.0,91.0
1,31,5,826.0,70.0
2,59,2,411.0,22.0
1,31,6,132.0,120.0
2,22,5,512.0,75.0
1,20,5,512.0,72.0
2,24,7,154.0,90.0
2,37,8,156.0,100.0
1,30,5,184.0,100.0
2,60,4,911.0,36.0
2,25,6,311.0,75.0
1,56,5,253.0,90.0
1,37,5,312.0,100.0
1,24,7,120.0,82.0
1,38,8,141.0,150.0
2,26,6,315.0,81.0
1,29,7,311.0,85.0
2,43,5,241.0,94.0
2,26,7,292.0,80.0
1,32,7,262.0,95.0
1,53,7,315.0,200.0
1,34,8,183.0,190.0
2,31,7,292.0,150.0
1,35,9,151.0,100.0
2,32,7,142.0,100.0
1,32,7,315.0,180.0
2,31,7,143.0,200.0
2,25,7,314.0,82.0
1,29,8,261.0,150.0
1,37,7,733.0,100.0
1,42,5,712.0,100.0
2,39,5,421.0,52.0
1,62,3,712.0,95.0
2,28,7,291.0,120.0
2,48,5,826.0,50.0
1,24,5,315.0,74.0
1,40,7,164.0,150.0
1,30,5,421.0,180.0
2,28,5,411.0,20.0
1,35,5,822.0,150.0
1,50,7,912.0,150.0
2,28,6,143.0,85.0
2,25,5,220.0,110.0
2,23,6,422.0,105.0
2,44,3,421.0,100.0
2,24,5,311.0,96.0
1,49,4,912.0,60.0
2,17,5,422.0,45.0
1,45,5,315.0,185.0
2,27,5,312.0,65.0
1,27,6,315.0,160.0
2,37,3,911.0,50.0
1,33,7,165.0,200.0
1,34,7,152.0,245.0
1,34,6,731.0,176.0
2,30,6,311.0,105.0
1,29,7,120.0,130.0
2,27,7,252.0,68.0
1,25,6,120.0,120.0
1,30,5,713.0,100.0
1,46,5,317.0,100.0
2,44,5,-1.0,30.0
1,36,7,131.0,146.0
2,34,7,252.0,60.0
2,40,5,512.0,50.0
2,51,2,411.0,30.0
2,25,6,220.0,100.0
1,42,5,312.0,160.0
2,38,4,753.0,60.0
1,28,7,262.0,80.0
1,40,4,753.0,70.0
2,26,5,753.0,50.0
2,42,4,911.0,63.0
1,51,7,161.0,100.0
2,23,7,156.0,50.0
1,50,3,313.0,120.0
2,20,5,311.0,65.0
1,49,5,842.0,150.0
2,39,5,911.0,55.0
1,40,9,151.0,350.0
2,72,2,914.0,24.0
1,18,5,316.0,68.0
1,25,6,120.0,100.0
2,27,6,154.0,79.0
1,27,5,314.0,104.0
2,30,7,312.0,120.0
2,30,5,422.0,150.0
1,30,5,721.0,150.0
1,24,5,721.0,120.0
1,27,5,714.0,85.0
2,24,5,315.0,60.0
1,38,8,152.0,150.0
2,35,7,313.0,165.0
1,29,5,721.0,50.0
1,47,4,-1.0,150.0
2,43,3,829.0,50.0
1,31,7,315.0,100.0
1,31,7,312.0,100.0
1,65,7,712.0,100.0
1,31,5,712.0,150.0
2,24,7,120.0,85.0
1,36,8,131.0,210.0
2,32,7,153.0,110.0
1,30,5,831.0,90.0
2,23,5,311.0,77.0
1,32,7,131.0,170.0
1,31,8,132.0,270.0
1,39,7,314.0,130.0
1,39,7,161.0,300.0
1,52,7,30.0,320.0
1,37,8,316.0,100.0
1,32,6,829.0,110.0
1,31,7,316.0,110.0
2,38,3,753.0,80.0
1,24,5,421.0,65.0
1,22,5,832.0,60.0
1,33,5,421.0,150.0
1,52,7,23.0,500.0
1,62,7,23.0,350.0
1,42,7,314.0,500.0
1,47,9,151.0,380.0
1,60,7,23.0,250.0
1,27,7,120.0,155.0
2,25,7,156.0,55.0
1,28,5,753.0,120.0
1,43,5,842.0,100.0
2,40,5,832.0,55.0
1,43,7,262.0,245.0
1,56,8,23.0,320.0
2,27,8,231.0,135.0
2,25,7,141.0,180.0
1,48,8,316.0,300.0
1,29,7,312.0,160.0
1,38,6,311.0,150.0
1,29,7,262.0,170.0
2,29,7,182.0,200.0
1,54,7,315.0,200.0
2,26,8,156.0,70.0
2,24,7,513.0,145.0
2,41,4,512.0,100.0
1,38,5,441.0,210.0
1,52,5,712.0,100.0
2,50,7,311.0,350.0
1,22,7,512.0,40.0
2,41,4,411.0,90.0
2,44,5,422.0,50.0
1,19,5,825.0,60.0
2,27,5,312.0,50.0
1,43,7,184.0,500.0
1,32,7,262.0,100.0
2,28,7,120.0,170.0
1,54,7,30.0,140.0
1,50,3,753.0,20.0
2,48,3,913.0,100.0
2,50,5,314.0,60.0
1,37,5,316.0,200.0
1,33,8,220.0,290.0
2,41,8,151.0,80.0
1,30,7,232.0,140.0
1,66,2,911.0,75.0
2,23,7,317.0,120.0
2,23,6,183.0,70.0
1,61,7,912.0,30.0
1,28,7,831.0,80.0
1,43,7,842.0,130.0
2,40,5,315.0,50.0
1,49,7,511.0,300.0
1,49,7,311.0,600.0
1,46,7,262.0,300.0
2,45,8,252.0,16.0
1,58,8,313.0,450.0
1,31,5,30.0,170.0
