code,v02,v03,v04,v05,v06,v07,v08,v09,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26
911,,,,,,,,,,,,,,,,,,,,,,,,-68.00,
911,,,,,,,,,,,,,,,,,,,,,,,,-4.85,12.10
911,,,,,,,,,,,,,,,,,,,,,,,,51.11,11.76
911,,,,,,,,,,,,,,,,,,,,,,,,-18.92,
911,,,,,,,,,,,,,,,,,,,,,,,,,5.71
911,,,,,,,,,,,,,,,,,,,,,,,,,-30.00
911,,,,,,,,,,,,,,,,,,,,,,,,,0.00
911,,,,,,,,,,,,,,,,,,,,,,,,,-6.98
232,15.29,0.00,,,36.36,,,,,,,,,,,,,,,,,,,,
232,-20.00,9.38,0.00,-14.29,16.67,71.43,-25.00,,,,,,,,,,,,,,,,,,
232,-30.00,,,,,,,,,,,,,,,,,,,,,,,,
232,,,,20.00,16.67,-28.57,,,,,,,,,,,,,,,,,,,
232,20.00,,,,100.00,-20.00,,,,,,,,,,,,,,,,,,,
232,0.00,,,,,,,,,,,,,,,,,,,,,,,,
232,,,,,,,-4.55,,,,,,,,,,,,,,,,,,
232,21.25,-7.22,,,,,,,,,,,,,,,,,,,,,,,
232,-33.33,58.97,-35.48,118.75,8.57,10.53,28.57,-7.41,28.00,-15.62,29.63,,,,,,,,,,,,,,
232,-7.14,15.38,6.67,,,,,,,,,,,,,,,,,,,,,,
232,30.00,0.00,-15.38,27.27,14.29,12.50,-11.11,25.00,-30.00,28.57,0.00,,,,,,,,,,,,,,
232,,,,40.00,-28.57,,,,,,,,,,,,,,,,,,,,
232,,,,111.11,,,,,,,,,,,,,,,,,,,,,
232,,,,14.29,-6.25,40.00,,,,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,,,,,,,,,
232,,,,,,,,,39.17,9.58,,,,,,,,,,,,,,,
232,,,,,,,,,,,,0.00,-12.50,42.86,0.00,-38.00,,,,,,,,,
232,,,,,,,,,,,,,,7.69,-5.71,12.12,2.70,-5.26,11.11,16.25,3.23,,,,
311,93.33,31.03,,,,,,,,5.56,2.63,,,6.67,56.25,0.00,20.00,0.00,0.00,0.00,-16.67,,,,
311,4.35,-45.83,,,,,,,,,,,,,,,,,,,,,,,
311,-40.30,,,,,,,,,,,,,,,,,,,,,,,,
311,11.11,,,,,,,,,,,,,,,,,,,,,,,,
311,-55.00,11.11,,,0.00,100.00,-25.00,0.00,-33.33,50.00,0.00,0.00,0.00,33.33,0.00,,,17.65,-15.00,,,,-6.67,0.00,7.14
311,23.08,,,-11.11,6.25,11.76,18.42,2.22,-60.87,,,,,,,,,,,,,,,,
311,-12.50,,,,,,,,,,,,,,,,,,,,,,,,
311,4.17,,,,,,,,,,,,,,,,,,,,,,,,
311,6.25,,,,,,,,,,,,,,,,,,,,,,,,
311,-42.71,136.36,-15.38,0.00,12.73,12.90,5.71,1.35,-6.67,7.14,10.00,3.03,-5.88,-3.12,3.23,,,,,,,,,,
311,-47.22,57.89,13.33,35.29,21.74,-7.14,-5.00,-0.81,18.37,-11.72,17.19,-6.67,0.00,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,,,,,,,,
311,-11.67,,,,,,,,,,,,,,,,,,,,,,,,
311,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,,0.00,12.00,,,,,
311,22.22,-34.09,24.14,20.00,-7.41,-40.00,,,,,,,,,,,,,,,,,,,
311,-17.65,,,,,,,,,,,,,,,,,,,,,,,,
311,66.67,,,6.67,-37.50,,,,,,,,,,,,,,,,,,,,
311,,,,,,,,0.00,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,,,,,,,,
311,-4.00,-33.33,25.00,0.00,-20.00,50.00,-16.67,20.00,25.00,0.00,33.33,-25.00,0.00,86.67,-42.86,0.00,25.00,0.00,0.00,0.00,0.00,0.00,15.00,-13.04,
311,,,,,,,,,,,,,,,,,,,,,,,,,
311,4.76,22.73,-7.41,,,,,,,8.70,-12.00,,,,,,,,-37.50,12.00,,,,,
311,0.00,25.00,-64.00,,,,,,,,,,,,,,,,,,,,,,
311,,,,,,25.00,-20.00,0.00,6.25,17.65,,,,,,,,,,,,,,,
311,2.94,14.29,,,,,,,,,,,,,,,,,,,,,,,
311,,,,,10.00,14.55,,,,,,,,,,,,,,,,,,,
311,,,,,,43.56,,,,,,,,,,,,,,,,,,,
311,7.14,6.67,-26.25,,,,,,,,,,,,,,,,,,,,,,
311,17.65,-13.00,29.31,,,,,,,,,,,,,,,,,,,,,,
311,,,,,,,,,-26.83,,,,,,,,,,,,,,,,
311,,,,,,,,,,66.67,-30.00,,,,,,,,,,,,,,
311,50.00,-43.33,76.47,-3.33,,,,,,,,,,,,,,,,,,,-6.17,-51.43,
311,-3.23,,,,,,,,,,,,,,,,,,,,,,,,
311,15.56,15.38,10.00,21.21,12.50,-4.00,15.74,-11.80,-5.22,,,,,,,0.00,8.00,11.11,,,,,,,
311,0.00,-15.00,29.41,36.36,0.00,21.67,13.97,-3.85,18.75,5.26,0.00,-10.00,11.11,0.00,-10.00,,,-25.00,33.33,25.00,20.00,-16.67,0.00,0.00,0.00
311,,,41.18,12.50,-25.93,,,,,,,,,,,,,,,,,,,,
311,-13.33,15.38,0.00,,,,,,,,,,,,,,,,,,,,,,
311,0.00,8.00,18.52,9.38,14.29,9.00,,,,,,,,,,,,,,,,,,,
311,-50.00,20.00,0.00,,,,,,,,-16.67,,,,,,,,,,,,,,
311,,,,,,,,,,,44.44,53.85,,,,,,,,,,,,,
311,-5.00,0.00,15.79,18.18,,,22.70,1.00,23.76,-20.00,,,,,,,,,,,,,,,
311,-19.50,,,,,,,,,,,,,,,,,,,,,,,,
311,,,,,,,,,80.00,29.63,-4.29,-64.18,,,,,,,,,,,,,
311,0.00,-7.69,8.33,7.69,0.00,12.86,1.27,6.25,,,,,,,,,,,,,,,,,
311,5.88,22.22,9.09,-8.33,9.09,,,,,,,,,-10.00,133.33,,,,,,,,,,
311,-13.33,23.08,-18.75,23.08,12.50,34.44,-17.36,0.00,0.00,-10.00,11.11,,,,,,,,,,,,,,
311,-20.00,-16.67,0.00,25.00,100.00,6.80,-15.73,33.33,26.67,-7.89,,,,,-44.44,40.00,21.43,,,,,,,,
311,,,,,,,,,,,,,,,,,,,,,,,,,
311,4.17,-36.00,,,,,,,,,,,,,,,,,,,,,,,
311,4.00,30.77,-11.76,20.00,8.33,,,,,,,,,,,,,,,,,,,,
311,33.33,-40.00,91.67,8.70,-20.00,,,,,,,,,,,,,,,,,,,,
311,-33.77,,,,,,,,,,,,,,,,,,,,,,,,
311,0.00,,,,,,,,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,,,,,,,,
311,-28.57,-30.00,100.00,-10.71,-20.00,22.00,22.95,33.33,0.00,25.00,0.00,40.00,-7.14,7.69,0.00,-21.43,-60.00,,,,,,,,
311,25.00,0.00,,,,,8.84,-6.25,33.33,-25.00,,,,,,,,,,,,,,,
311,-17.65,57.14,,,,,,,,-8.20,-10.71,,,,,,,,,,,,,,
311,-6.67,7.14,33.33,0.00,0.00,9.00,0.92,-45.45,100.00,4.17,-6.40,-35.90,100.00,6.67,-15.62,15.93,-4.15,16.67,14.29,-17.50,,,,,
311,-62.50,-16.67,240.00,5.88,30.56,-82.98,,,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,10.00,-3.03,-44.38,,,,,,,
311,50.00,-16.67,25.00,4.00,23.08,,,,,,,,,,,,,,,,,,,,
311,,0.00,20.00,-16.67,,,,,,,,,,,,,,,,,,,,,
311,,16.67,,,0.00,-14.29,150.00,,,,,,,,,,,,,,,,,,
311,,0.00,,,,,,,,,,,,,,,,,,,,,,,
311,,42.11,-14.44,29.87,,,,,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,,,,,,,,
311,,42.86,-16.67,50.00,33.33,-5.00,,,13.04,-23.08,,,,,,,,,,,,,,,
311,,20.00,33.33,,,,,,,,,,,,,,,,,,,33.33,,,
311,,13.33,,,,,,,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,,,,,,,,
311,,,25.00,80.00,,,,,,,,,,,,,,,,,,,,,
311,,,17.65,-20.00,,,-22.00,,,,,,,,,,,,,,,,,,
311,,,,-4.76,,,,,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,13.85,25.00,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,,,,,,,,
311,,,,-24.55,,,,,,,,,,,,,,,,,,,,,
